key,fold
CVE-2015-8467,0
CVE-2015-8382,0
CVE-2013-6712,0
CVE-2013-6449,0
CVE-2013-6420,0
CVE-2011-4128,0
CVE-2011-4128,0
CVE-2015-7804,0
CVE-2015-7804,0
CVE-2015-7803,0
CVE-2015-7665,0
CVE-2013-6051,0
CVE-2018-1000040,0
CVE-2018-1000039,0
CVE-2018-1000039,0
CVE-2018-1000039,0
CVE-2018-1000037,0
CVE-2018-1000037,0
CVE-2018-1000037,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2015-7540,0
CVE-2018-20482,0
CVE-2017-17434,0
CVE-2017-17434,0
CVE-2018-20103,0
CVE-2018-20102,0
CVE-2009-3607,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2009-3605,0
CVE-2017-16853,0
CVE-2017-16852,0
CVE-2019-15938,0
CVE-2019-15937,0
CVE-2017-16612,0
CVE-2017-16612,0
CVE-2017-16612,0
CVE-2015-6496,0
CVE-2015-6496,0
CVE-2015-6496,0
CVE-2015-6496,0
CVE-2018-19489,0
CVE-2018-19476,0
CVE-2018-19476,0
CVE-2018-19476,0
CVE-2018-19475,0
CVE-2018-19409,0
CVE-2017-16227,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2017-15994,0
CVE-2018-19134,0
CVE-2017-15923,0
CVE-2017-15923,0
CVE-2017-15873,0
CVE-2011-2895,0
CVE-2017-15650,0
CVE-2013-4474,0
CVE-2013-4473,0
CVE-2007-4849,0
CVE-2007-4849,0
CVE-2007-4849,0
CVE-2013-4391,0
CVE-2019-14975,0
CVE-2019-14975,0
CVE-2013-4282,0
CVE-2011-2724,0
CVE-2013-4130,0
CVE-2013-4130,0
